sys i itr dvfs rapl read_5th read_10th read_50th read_90th read_95th read_99th measure_QPS target_QPS time joules rx_desc rx_bytes tx_desc tx_bytes instructions ref_cycles num_interrupts
linux_tuned 2 1 0x1d00 135 46.3 48.6 58.9 77.7 86.1 113.5 749683.8 750000 20.01 2955.23 15777272 2697773292 45035421 3590192872 321197205328.0 684878021384.0 316323
linux_tuned 0 1 0x1d00 135 46.8 49.6 60.0 81.1 92.2 126.1 799840.4 800000 20.01 3006.35 16853464 2880628089 48008473 3836794117 337429147181.0 712509763655.0 316608
linux_tuned 1 1 0x1d00 135 46.4 49.0 59.8 81.8 93.6 128.1 799689.9 800000 20.01 3004.01 16852235 2880400418 47999423 3829945199 336964639987.0 711289844725.0 316510
linux_tuned 2 1 0x1d00 135 46.6 49.3 59.9 81.0 92.5 126.7 799982.2 800000 20.01 3004.2 16849661 2880479105 48015717 3831495238 337110008602.0 710921585789.0 316411
linux_tuned 0 1 0x1d00 135 48.0 50.7 62.5 87.2 101.9 148.7 850126.6 850000 20.01 3050.97 17913730 3062295777 50946735 4077454424 352753109871.0 737228380613.0 316597
linux_tuned 1 1 0x1d00 135 47.1 50.1 61.6 86.1 99.3 141.7 849698.5 850000 20.01 3049.72 17916377 3060562411 50950793 4073359684 352231234922.0 735594519917.0 316597
linux_tuned 2 1 0x1d00 135 46.9 50.0 61.3 86.3 100.5 149.4 850009.5 850000 20.01 3049.63 17919264 3063870693 50971861 4076523114 353095037854.0 737672594145.0 316574
linux_tuned 0 1 0x1d00 135 47.9 50.7 63.6 95.0 113.1 175.4 899738.9 900000 20.01 3086.25 18980649 3240869246 53877826 4314268511 366931488743.0 757877635211.0 316643
linux_tuned 1 1 0x1d00 135 47.9 50.7 63.6 94.6 112.4 173.8 900100.1 900000 20.01 3088.77 18986473 3242915388 53904645 4319535572 367220209062.0 758145109026.0 316551
linux_tuned 2 1 0x1d00 135 48.0 50.9 63.8 95.4 113.1 177.2 899972.1 900000 20.01 3089.64 18980474 3242640290 53895378 4313010934 366696692235.0 758456545739.0 316651
linux_tuned 0 1 0x1d00 135 48.2 51.1 65.0 105.2 128.8 217.8 949562.2 950000 20.01 3123.91 20052176 3422095412 56755959 4552907670 380575870824.0 777581924461.0 316610
linux_tuned 1 1 0x1d00 135 49.2 51.7 66.1 107.4 134.5 218.4 949850.8 950000 20.01 3121.76 20055411 3422712962 56773271 4543355258 380549164605.0 776037038984.0 316396
linux_tuned 2 1 0x1d00 135 49.4 51.8 65.9 105.5 130.0 212.2 949792.0 950000 20.01 3123.04 20062633 3424329301 56794494 4549323105 380439430390.0 777505742882.0 316518
linux_tuned 0 1 0x1d00 135 49.4 52.2 69.0 120.8 152.3 262.5 999721.3 1000000 20.01 3154.58 21134494 3606105529 59613707 4798206977 393413555696.0 793359127381.0 316524
linux_tuned 1 1 0x1d00 135 49.0 51.9 68.8 124.7 158.0 267.0 999538.4 1000000 20.01 3148.27 21134728 3605761243 59588419 4790419886 392716389162.0 790924108509.0 316330
linux_tuned 2 1 0x1d00 135 49.0 51.9 68.7 123.5 155.5 267.0 999420.4 1000000 20.01 3149.72 21130135 3602375312 59588588 4780773401 393136658684.0 791012362846.0 316455
linux_tuned 0 1 0x1d00 135 49.8 52.8 74.5 151.8 188.2 351.6 1049823.0 1050000 20.01 3163.7 22236099 3789516490 62377340 5028025716 404112852029.0 798889747425.0 316023
linux_tuned 1 1 0x1d00 135 50.3 53.4 74.2 147.7 182.6 337.0 1050198.9 1050000 20.01 3167.47 22242771 3788085845 62389832 5022823392 404355285888.0 800237037516.0 316071
linux_tuned 2 1 0x1d00 135 49.8 52.7 73.9 148.2 185.2 354.7 1049835.0 1050000 20.01 3166.76 22227065 3786296313 62381677 5023732266 404312499879.0 800342940818.0 316154
linux_tuned 0 1 0x1d00 135 50.8 54.6 82.7 171.8 211.6 394.3 1099746.1 1100000 20.01 3165.75 23357918 3970582549 65084987 5260682930 414214175285.0 797473387686.0 314975
linux_tuned 1 1 0x1d00 135 50.4 54.0 81.2 170.2 213.8 411.5 1100119.0 1100000 20.01 3173.27 23349796 3973494744 65117112 5261378287 414703704461.0 802390185001.0 315425
