sys i itr dvfs rapl read_5th read_10th read_50th read_90th read_95th read_99th measure_QPS target_QPS time joules rx_desc rx_bytes tx_desc tx_bytes instructions ref_cycles num_interrupts
linux_tuned 2 1 0x1d00 135 45.4 47.0 56.4 71.5 78.1 96.8 600258.1 600000 20.0 2730.97 12638373 2163013856 36117787 2882924629 270129418412.0 595939997958.0 15559309
linux_tuned 0 1 0x1d00 135 46.5 49.1 59.8 80.5 91.7 125.8 799919.4 800000 20.01 2747.72 15513506 2652759104 44210081 3534758477 311296943020.0 655315466711.0 15996867
linux_tuned 1 1 0x1d00 135 47.2 50.1 60.5 82.3 93.5 126.1 799912.3 800000 20.01 2757.35 15536743 2657093649 44267950 3544510520 311343910345.0 655421446950.0 15997008
linux_tuned 2 1 0x1d00 135 47.0 49.9 60.3 81.2 92.7 127.2 799818.6 800000 20.01 2743.05 15514558 2651382662 44217390 3530112764 311515890542.0 655645738982.0 15996919
linux_tuned 0 1 0x1d00 135 47.6 50.5 63.2 94.8 113.1 178.5 899985.4 900000 20.01 2766.92 17101911 2921891355 48551643 3881967516 331028546958.0 683880202985.0 15996974
linux_tuned 1 1 0x1d00 135 47.4 50.4 63.0 94.4 112.7 176.4 899349.1 900000 20.01 2766.63 17046803 2911612132 48384246 3877280692 330053999078.0 681460607125.0 15997274
linux_tuned 2 1 0x1d00 135 47.0 50.1 62.8 94.2 113.3 179.5 899680.2 900000 20.01 2761.62 17112081 2922098334 48571402 3886431349 331478345999.0 683912052786.0 15996871
linux_tuned 0 1 0x1d00 135 48.6 51.6 68.9 124.1 157.2 273.1 999633.4 1000000 20.01 2896.91 19430893 3314559060 54789283 4402335111 361796622066.0 728473609444.0 15996986
linux_tuned 1 1 0x1d00 135 49.1 51.9 69.0 125.3 160.0 279.2 999456.9 1000000 20.01 2848.76 19294142 3288608684 54424835 4366628802 358958594393.0 724886759524.0 15997142
linux_tuned 2 1 0x1d00 135 48.6 51.7 69.0 126.5 159.8 276.4 999541.3 1000000 20.01 2872.99 19655798 3350354876 55403817 4449177753 365436744914.0 735192095878.0 15996963
linux_tuned 0 1 0x1d00 135 50.4 54.1 82.5 173.7 218.3 441.6 1099383.2 1100000 20.01 3158.11 23297725 3959402879 64909669 5242371496 413284058403.0 797410329100.0 14692395
linux_tuned 1 1 0x1d00 135 50.5 54.3 82.1 172.0 216.4 415.9 1099704.5 1100000 20.01 3159.66 23357042 3974684793 65056710 5273209418 414805949483.0 799297086732.0 14795317
linux_tuned 2 1 0x1d00 135 50.9 54.7 82.8 172.5 215.3 427.4 1099423.4 1100000 20.01 3161.28 23321393 3968421927 64963652 5268356930 414528627283.0 799377738284.0 14779056
linux_tuned 0 1 0x1d00 135 52.8 58.0 111.7 207.8 273.3 555.1 1199731.8 1200000 20.01 3143.47 25657038 4343302122 70353760 5731839705 434445900415.0 786398682492.0 10299550
linux_tuned 1 1 0x1d00 135 52.5 57.8 110.9 208.4 273.8 547.9 1199463.1 1200000 20.01 3142.19 25648013 4341468284 70336733 5722029975 433410727962.0 784898353630.0 10204413
linux_tuned 2 1 0x1d00 135 52.3 57.6 111.4 205.7 267.1 542.7 1199778.2 1200000 20.0 3140.46 25665477 4345800713 70369883 5744258635 433496634575.0 783366848231.0 9988832
linux_tuned 0 1 0x1d00 135 48.1 50.1 55.9 68.6 73.4 85.1 199900.8 200000 20.01 1611.49 5361612 797184644 12069742 964638310 111767515979.0 330223124874.0 8207140
linux_tuned 1 1 0x1d00 135 47.8 50.0 55.7 68.2 72.9 84.7 199814.3 200000 20.01 1616.6 5375982 798014705 12064136 962822408 111859459663.0 330612307426.0 8225178
linux_tuned 2 1 0x1d00 135 48.1 50.1 55.9 68.7 73.7 85.7 199720.5 200000 20.01 1615.0 5381565 797309137 12058026 959277162 111819400239.0 329994583443.0 8196397
linux_tuned 0 1 0x1d00 135 45.7 46.9 55.1 68.9 74.8 92.1 399778.7 400000 20.0 2199.95 8584403 1449627264 24085386 1919613362 192546756996.0 478196991470.0 12568737
linux_tuned 1 1 0x1d00 135 45.7 47.0 55.2 68.9 74.8 90.5 399917.8 400000 20.01 2209.17 8584082 1450442290 24093564 1920067550 193069162209.0 479541033706.0 12581851
linux_tuned 2 1 0x1d00 135 45.7 47.0 55.4 69.1 75.1 92.6 399829.1 400000 20.01 2209.83 8572914 1449017156 24089192 1914631699 192598001901.0 479436732306.0 12564852
linux_tuned 0 1 0x1d00 135 45.4 47.0 56.3 71.6 78.0 95.1 599548.2 600000 20.01 2727.02 12631678 2159934813 36074901 2880075899 269836169550.0 595612453630.0 15602296
linux_tuned 1 1 0x1d00 135 45.6 47.3 56.6 71.5 78.0 95.8 599955.0 600000 20.01 2730.62 12627814 2160090951 36096505 2874905863 269999951963.0 595250454402.0 15641381
linux_tuned 2 1 0x1d00 135 45.3 46.8 56.1 70.9 77.1 94.7 599892.3 600000 20.0 2729.05 12630362 2161358724 36096192 2878504992 269562726687.0 593709144161.0 15640811
linux_tuned 0 1 0x1d00 135 46.2 48.7 59.5 81.8 93.6 128.4 799997.8 800000 20.01 2750.04 15539636 2656859157 44276196 3540285477 311831411432.0 656569672370.0 15997165
linux_tuned 1 1 0x1d00 135 48.0 50.6 61.5 83.8 95.1 128.9 799998.9 800000 20.01 2762.58 15512413 2652409057 44199909 3528086194 311514570510.0 656064629859.0 15996962
linux_tuned 2 1 0x1d00 135 46.4 49.0 59.7 80.2 91.8 124.5 799861.8 800000 20.01 2747.05 15492271 2649263408 44158150 3526266548 310464856361.0 652370532603.0 15996915
linux_tuned 0 1 0x1d00 135 47.6 50.5 63.2 94.7 112.7 177.4 899852.0 900000 20.01 2758.59 17157534 2930518301 48682033 3899912249 332406878287.0 685487995175.0 15996780
linux_tuned 1 1 0x1d00 135 47.7 50.7 63.6 95.7 114.6 178.8 899661.4 900000 20.01 2754.82 17157379 2931733304 48690928 3901362008 332185855008.0 685064242767.0 15996749
linux_tuned 2 1 0x1d00 135 48.2 50.9 63.6 94.4 112.3 171.6 899751.4 900000 20.01 2763.47 17088351 2918305320 48520010 3883674605 331156547321.0 683096006155.0 15996937
linux_tuned 0 1 0x1d00 135 49.9 52.6 70.0 126.1 160.3 279.1 999317.4 1000000 20.01 2885.09 19416233 3311781124 54771834 4394761537 361768530093.0 728342807467.0 15997018
linux_tuned 1 1 0x1d00 135 48.9 51.9 69.4 126.3 160.5 278.5 999799.4 1000000 20.01 2929.28 19552644 3334097345 55145288 4429677929 363846953054.0 732583814911.0 15996618
linux_tuned 2 1 0x1d00 135 49.0 52.0 69.0 126.1 159.9 276.0 999600.5 1000000 20.01 2888.92 19535908 3332145559 55079013 4427026740 363247528229.0 732204307716.0 15997547
