sys msg i itr dvfs time pk0j joules ins cyc refcyc llcmiss c7 num_interrupts
ebbrt_tuned 64 0 2 0xf00 0.179016 3.112735 3.593211 26490171 213599841 443628486 874821 9873 9899
ebbrt_tuned 64 1 2 0xf00 0.177558 3.096773 3.553856 26491973 212601912 440681883 869955 9849 9915
ebbrt_tuned 64 0 2 0xd00 0.184643 3.218838 3.478303 26420918 189782263 439975008 820148 9196 9444
ebbrt_tuned 64 1 2 0xd00 0.185857 3.235578 3.516545 26425268 191287768 443376853 828650 9265 9476
ebbrt_tuned 64 0 2 0xc00 0.187997 3.271179 3.503650 26512254 211429500 510983828 882224 10010 10052
ebbrt_tuned 64 1 2 0xc00 0.188080 3.270035 3.503253 26513480 211551550 511281426 886576 10013 10055
ebbrt_tuned 8192 0 2 0x1d00 0.241783 4.207915 7.306946 141425014 386744207 573116589 1340958 9447 16385
ebbrt_tuned 8192 1 2 0x1d00 0.241601 4.206907 7.296249 141489869 386997793 572580669 1339639 9500 16440
ebbrt_tuned 8192 0 2 0x1b00 0.239559 4.171825 6.804755 141662522 372316454 571119185 1414781 10120 17262
ebbrt_tuned 8192 1 2 0x1b00 0.239338 4.172481 6.781666 141724232 374883767 572329065 1428493 10295 17390
ebbrt_tuned 8192 0 2 0x1900 0.236012 4.119452 6.275141 141709820 346227681 558675749 1276114 8598 14694
ebbrt_tuned 8192 1 2 0x1900 0.236498 4.119529 6.274241 141678682 346577345 559134587 1257830 8574 14705
ebbrt_tuned 8192 0 2 0x1700 0.237079 4.136773 6.052559 141394696 372233140 584093060 1492857 11078 18265
ebbrt_tuned 8192 1 2 0x1700 0.236929 4.138512 6.039756 141367437 367159609 581520963 1452406 10653 17686
ebbrt_tuned 8192 0 2 0x1500 0.230674 4.015425 5.720608 140205829 452499683 626918433 1905656 15400 25901
ebbrt_tuned 8192 1 2 0x1500 0.229589 4.015593 5.692804 140077523 450568599 624298863 1915956 15508 26020
ebbrt_tuned 8192 0 2 0x1300 0.202350 3.526205 4.702491 139164862 367246155 561112503 1848291 14664 25335
ebbrt_tuned 8192 1 2 0x1300 0.203493 3.545295 4.722558 139152886 368072704 562809699 1845020 14627 25264
ebbrt_tuned 8192 0 2 0x1100 0.246056 4.280232 5.376632 138433390 391323367 668058993 1409291 10068 21060
ebbrt_tuned 8192 1 2 0x1100 0.245566 4.298330 5.353818 138433108 390187275 666534202 1410383 10077 21027
ebbrt_tuned 8192 0 2 0xf00 0.238081 4.155329 4.822984 140795981 293394724 605745301 1193594 7608 15489
ebbrt_tuned 8192 1 2 0xf00 0.237933 4.157450 4.799484 140080117 292194277 604263894 1183350 7566 15397
ebbrt_tuned 8192 0 2 0xd00 0.255033 4.454638 4.870626 140304819 266337506 617060985 1023633 6061 11716
ebbrt_tuned 8192 1 2 0xd00 0.255412 4.474629 4.889030 140445920 266706524 617892937 1046676 6098 11739
ebbrt_tuned 8192 0 2 0xc00 0.234773 4.084354 4.405013 141028564 267076573 645461816 947261 5024 10021
ebbrt_tuned 8192 1 2 0xc00 0.234993 4.103490 4.440446 141065080 267322204 646055446 948805 5026 10023
ebbrt_tuned 64 0 4 0x1d00 0.085066 1.469767 1.976002 27115025 68870841 146808092 43885 10393 14665
ebbrt_tuned 64 1 4 0x1d00 0.085046 1.488705 1.970203 27109710 68589313 144230572 38900 10501 14619
ebbrt_tuned 64 0 4 0x1b00 0.085207 1.488552 1.927704 27125406 69589835 147396676 46969 10451 14746
ebbrt_tuned 64 1 4 0x1b00 0.085503 1.488033 1.944872 27111715 70795589 147474454 50735 10482 14635
ebbrt_tuned 64 0 4 0x1900 0.122343 2.135149 3.187646 26545006 202697103 306010088 391883 8314 10530
ebbrt_tuned 64 1 4 0x1900 0.122203 2.117279 3.181954 26518308 203368060 304048064 385886 8245 10332
ebbrt_tuned 64 0 4 0x1700 0.105117 1.837045 2.773185 26919551 222425617 282539692 882567 10001 13211
ebbrt_tuned 64 1 4 0x1700 0.104624 1.821159 2.751210 26889504 222468492 282036136 884853 9994 12979
ebbrt_tuned 64 0 4 0x1500 0.112451 1.961872 2.765570 26532524 219250594 303670107 883185 10007 10210
ebbrt_tuned 64 1 4 0x1500 0.112667 1.960269 2.765875 26532463 219688728 304490053 886091 10011 10209
ebbrt_tuned 64 0 4 0x1300 0.123283 2.152683 2.859541 26507376 218767486 334056974 885754 10015 10014
ebbrt_tuned 64 1 4 0x1300 0.123495 2.152515 2.836697 26508113 218473112 333982357 882639 10011 10014
ebbrt_tuned 64 0 4 0x1100 0.137677 2.398460 2.980705 26507325 217599861 371948838 885920 10012 10014
ebbrt_tuned 64 1 4 0x1100 0.137440 2.397895 2.981560 26507153 217375784 371612786 881346 10009 10013
ebbrt_tuned 64 0 4 0xf00 0.177669 3.095751 3.556419 26495222 212551797 440804466 873092 9854 9941
ebbrt_tuned 64 1 4 0xf00 0.177747 3.097918 3.573709 26497941 212336024 440643574 868996 9847 9963
ebbrt_tuned 64 0 4 0xd00 0.184675 3.219296 3.494464 26443805 189794684 439965960 823379 9197 9629
ebbrt_tuned 64 1 4 0xd00 0.183674 3.203013 3.474458 26468869 188724502 437513459 822621 9204 9815
ebbrt_tuned 64 0 4 0xc00 0.187789 3.272934 3.502063 26524334 211240995 510533197 886567 10009 10164
ebbrt_tuned 64 1 4 0xc00 0.187426 3.273850 3.504749 26526337 210852327 509589595 882638 10013 10179
ebbrt_tuned 8192 0 4 0x1d00 0.237775 4.138482 7.205360 139344785 386079051 566674906 1484399 11152 18217
ebbrt_tuned 8192 1 4 0x1d00 0.237375 4.137337 7.193976 139434062 384865711 565110936 1483081 11139 18235
ebbrt_tuned 8192 0 4 0x1b00 0.246290 4.298452 6.995078 139256128 378000272 587241039 1367921 9836 16728
ebbrt_tuned 8192 1 4 0x1b00 0.246662 4.315895 7.023903 139291578 378124997 587849401 1376248 9892 16813
ebbrt_tuned 8192 0 4 0x1900 0.234968 4.105688 6.230887 139703941 346987005 557575315 1299258 8900 15728
ebbrt_tuned 8192 1 4 0x1900 0.235194 4.104711 6.257440 139760128 347212518 557998802 1292846 8848 15651
ebbrt_tuned 8192 0 4 0x1700 0.235502 4.102941 6.014454 139199647 376460451 584627240 1496844 11161 18216
ebbrt_tuned 8192 1 4 0x1700 0.235432 4.102117 6.024587 139250096 377524415 585485031 1502832 11249 18250
ebbrt_tuned 8192 0 4 0x1500 0.207911 3.634139 5.113122 139911329 393341402 562980480 2002203 16385 25727
ebbrt_tuned 8192 1 4 0x1500 0.206049 3.598644 5.069952 139771654 391924472 559070323 2014081 16516 26043
ebbrt_tuned 8192 0 4 0x1300 0.214711 3.753426 4.987594 139436204 381509667 585696992 1652761 12697 21309
ebbrt_tuned 8192 1 4 0x1300 0.214685 3.753151 5.010667 139622164 381588127 586074572 1646407 12735 21440
ebbrt_tuned 8192 0 4 0x1100 0.215369 3.753304 4.697715 138113247 347183348 592750517 1520781 11236 20709
ebbrt_tuned 8192 1 4 0x1100 0.214352 3.735145 4.692542 138391660 345397496 589934936 1520734 11174 20853
ebbrt_tuned 8192 0 4 0xf00 0.237873 4.136559 4.822267 138148049 292492231 603966238 1178792 7896 16082
ebbrt_tuned 8192 1 4 0xf00 0.238128 4.157038 4.825319 138396330 292549207 604489804 1204357 7932 16075
ebbrt_tuned 8192 0 4 0xd00 0.256382 4.469181 4.894081 138310056 268669585 622020507 1028205 6106 11963
ebbrt_tuned 8192 1 4 0xd00 0.256667 4.470173 4.907952 138303202 268429249 621728448 1031334 6127 12023
ebbrt_tuned 8192 0 4 0xc00 0.234055 4.085606 4.403227 138636382 266220485 643392463 937815 5026 10024
ebbrt_tuned 8192 1 4 0xc00 0.233435 4.068850 4.384946 138581774 265470527 641580021 939680 5023 10021
ebbrt_tuned 64 0 6 0x1d00 0.115145 2.015175 2.479475 26617571 65640938 121493586 36833 9597 9917
ebbrt_tuned 64 1 6 0x1d00 0.114713 1.998160 2.419931 26488949 65057075 120294436 33276 9538 9889
ebbrt_tuned 64 0 6 0x1b00 0.115602 2.016151 2.517610 26500873 66306814 124753563 36412 9602 9974
ebbrt_tuned 64 1 6 0x1b00 0.116110 2.033578 2.539661 26498442 67273127 126993494 40632 9588 9956
ebbrt_tuned 64 0 6 0x1900 0.171966 2.996942 4.468204 26105003 233667551 401186725 598461 7151 7221
ebbrt_tuned 64 1 6 0x1900 0.172424 3.014079 4.474858 26107787 234571123 401415912 598177 7179 7245
