sys i msg_size itr dvfs rapl time tput joules rx_bytes tx_bytes instructions cycles ref_cycles llc_miss c1 c1e c3 c6 c7 num_interrupts
linux_tuned 2 65536 0 0x1500 135 0.997 5012.71 24.21 343831920 343384466 931340227 1555844742 2291500221 5601872 19672 261 144 0 20575 109563
linux_tuned 0 64 0 0x1700 135 0.146 33.56 3.7 650268 650002 136129817 248475913 316539263 122742 1042 204 37 0 7894 15006
linux_tuned 1 64 0 0x1700 135 0.145 33.69 3.67 651660 649870 144835534 260373299 331554013 130298 1082 292 44 0 8576 15028
linux_tuned 2 64 0 0x1700 135 0.169 28.94 4.35 651786 650266 126063130 314388567 398313376 386110 7431 283 34 0 3070 15034
linux_tuned 0 8192 0 0x1700 135 0.304 2053.04 7.77 43414146 43269266 273666055 492428894 656361321 789227 11528 226 101 0 3947 38924
linux_tuned 1 8192 0 0x1700 135 0.305 2050.59 7.76 43430918 43269068 280529552 505479185 671127135 803334 11800 308 117 0 4043 39148
linux_tuned 2 8192 0 0x1700 135 0.304 2052.82 7.77 43411506 43270322 275020459 495276520 657721247 798346 12119 249 140 0 3558 39017
linux_tuned 0 65536 0 0x1700 135 0.979 5107.03 25.39 343893364 343513798 958323750 1621529969 2129420758 6180797 31352 75 16 0 10922 123578
linux_tuned 1 65536 0 0x1700 135 0.969 5158.48 25.26 343564100 343492152 941301751 1609824269 2038377984 5757317 39168 57 59 0 2462 125351
linux_tuned 2 65536 0 0x1700 135 0.957 5224.23 24.87 343984774 343623160 960914110 1582463508 1996882870 5641409 41494 15 1 0 304 129800
linux_tuned 0 64 0 0x1900 135 0.143 34.18 3.85 648830 649870 133945741 243453778 285909289 122471 1602 269 64 0 7637 14990
linux_tuned 1 64 0 0x1900 135 0.141 34.54 3.82 648180 649870 140528518 254973062 298930028 126656 1985 171 30 0 7869 14984
linux_tuned 2 64 0 0x1900 135 0.14 34.78 3.81 648440 650000 132994746 243370867 284882950 122078 2371 248 32 0 6987 14986
linux_tuned 0 8192 0 0x1900 135 0.295 2117.48 7.95 43465946 43271378 271211229 495586886 608650753 795433 13483 204 64 0 2902 39423
linux_tuned 1 8192 0 0x1900 135 0.296 2108.44 7.98 43471490 43271312 271734542 495433794 611205218 778042 13010 219 87 0 3114 39464
linux_tuned 2 8192 0 0x1900 135 0.294 2126.18 7.91 43467464 43271180 276433778 500297074 612969491 803519 13802 237 113 0 2792 39474
linux_tuned 0 65536 0 0x1900 135 0.967 5172.58 26.45 343903726 343590358 986870491 1688087251 2079972046 6250357 29884 54 26 0 13084 127391
linux_tuned 1 65536 0 0x1900 135 0.957 5224.61 26.27 343773646 343480392 988407092 1682253783 2085642242 5627572 27423 34 17 0 15318 127331
linux_tuned 2 65536 0 0x1900 135 0.955 5234.5 26.17 343938244 343598674 982810568 1663788218 2046643303 5408079 30589 28 17 0 12485 128404
linux_tuned 0 64 0 0x1a00 135 0.141 34.65 3.89 647660 649870 141153483 267544897 301158707 156429 3097 142 15 0 7494 14980
linux_tuned 1 64 0 0x1a00 135 0.146 33.35 4.07 649480 649936 125073582 253950585 285683089 195186 4879 57 10 0 5291 14995
linux_tuned 2 64 0 0x1a00 135 0.141 34.63 3.93 653436 650200 135025965 251833861 284305734 138409 2864 175 14 0 7108 15057
linux_tuned 0 8192 0 0x1a00 135 0.289 2165.78 8.01 43447912 43272896 272465179 500156109 581762765 816908 15747 136 29 0 1855 39831
linux_tuned 1 8192 0 0x1a00 135 0.291 2150.79 8.1 43419500 43275206 270250359 494971628 579119183 779109 14846 142 102 0 2140 39801
linux_tuned 2 8192 0 0x1a00 135 0.288 2168.29 8.06 43402662 43272236 265691949 487637690 565333946 787291 15492 127 91 0 1639 39845
linux_tuned 0 65536 0 0x1a00 135 0.963 5193.29 27.29 343544960 343503402 988914334 1705199235 2009711252 6142607 31927 88 38 0 10985 131134
linux_tuned 1 65536 0 0x1a00 135 0.952 5253.35 26.94 343753186 343543532 1000901737 1714214241 2049407438 5776685 28067 49 19 0 14882 130122
linux_tuned 2 65536 0 0x1a00 135 0.962 5200.1 27.08 343915210 343524226 995734821 1721893902 2130483086 5615455 23202 149 83 0 21555 117908
linux_tuned 0 64 0 0x1b00 135 0.145 33.79 4.12 648898 650200 135208799 282394326 306641592 220240 6772 15 11 0 4883 14998
linux_tuned 1 64 0 0x1b00 135 0.136 35.82 3.91 648310 649870 142366249 260103107 281454976 131081 3598 62 13 0 7183 14985
linux_tuned 2 64 0 0x1b00 135 0.138 35.4 3.96 653106 650464 129902797 242081689 262477898 130233 3591 99 16 0 6432 15055
linux_tuned 0 8192 0 0x1b00 135 0.285 2194.06 8.17 43436288 43279232 269425814 500074385 550155984 810795 17269 39 12 0 1012 40220
linux_tuned 1 8192 0 0x1b00 135 0.287 2180.51 8.22 43406020 43276988 266042184 494801519 548678898 797627 16418 43 53 0 1294 40211
linux_tuned 2 8192 0 0x1b00 135 0.284 2202.12 8.19 43396928 43277648 256341509 477215837 523240272 777624 16615 54 40 0 775 40074
linux_tuned 0 65536 0 0x1b00 135 0.954 5238.65 27.87 343663822 343553716 1003929948 1729793762 1944159246 6047511 34242 52 19 0 9116 136833
linux_tuned 1 65536 0 0x1b00 135 0.954 5242.29 27.79 343823540 343520648 1008084411 1757070333 2091063415 5791721 22630 172 41 0 21605 122260
linux_tuned 2 65536 0 0x1b00 135 0.941 5312.5 27.5 343877328 343618436 1019111080 1745028358 1973654015 5487191 33675 33 33 0 10506 136548
linux_tuned 0 64 0 0x1d00 135 0.133 36.82 4.04 653640 650068 119683189 217349155 220524642 117124 9019 156 40 0 2357 15061
linux_tuned 1 64 0 0x1d00 135 0.131 37.37 3.97 653172 650530 140774935 256430954 258235720 131160 7417 45 13 0 4559 15058
linux_tuned 2 64 0 0x1d00 135 0.129 37.78 3.9 652396 649870 136527568 246566943 248300784 131341 9324 36 15 0 3238 15044
linux_tuned 0 8192 0 0x1d00 135 0.28 2232.7 8.58 43453538 43297316 259616065 492681104 496436413 798944 18218 2 4 0 143 40696
linux_tuned 1 8192 0 0x1d00 135 0.281 2224.97 8.59 43440718 43296788 268020195 508750497 512818513 818711 18875 1 0 0 166 40723
linux_tuned 2 8192 0 0x1d00 135 0.281 2222.66 8.64 43401490 43302860 266331955 504667287 509251919 803244 18648 6 6 0 127 40676
linux_tuned 0 65536 0 0x1d00 135 0.944 5297.05 29.35 343784598 343634408 1021103001 1777497022 1881744866 5692306 34831 38 20 0 10529 137578
linux_tuned 1 65536 0 0x1d00 135 0.927 5396.35 28.94 343816412 343648060 1038788678 1794020151 1867426174 5866841 37829 48 12 0 7301 146024
linux_tuned 2 65536 0 0x1d00 135 0.943 5300.86 29.27 343803604 343743940 999251999 1749325369 1763856995 5585856 43890 66 28 0 1261 145424
