oloop,timeout_us,work_type,fire_iter_type,fire_iter,dvfs,joules,time,instructions,ref_cycles,llc_miss,sleep_cnt_0,sleep_cnt_1
10000,4,sum1,time_limit_sec,3,0x1d00,97.8044,3.00002,11163365421,8700053041,95,5997,2
10000,4,sum1,time_limit_sec,3,0x1d00,97.9854,3.00001,10148744371,8700019198,98,5997,2
10000,8,sum1,time_limit_sec,3,0x1d00,97.9724,3.00001,10148744371,8700019227,98,5997,2
10000,8,sum1,time_limit_sec,3,0x1d00,97.9338,3.00001,10148744371,8700019256,98,5997,2
10000,8,sum1,time_limit_sec,3,0x1d00,97.9646,3.00002,10148744371,8700050866,96,5995,2
10000,16,sum1,time_limit_sec,3,0x1d00,97.7455,3.00001,11143462021,8699971783,96,5997,2
10000,16,sum1,time_limit_sec,3,0x1d00,97.9113,3.00001,11185711511,8699942058,95,5995,2
10000,16,sum1,time_limit_sec,3,0x1d00,97.8145,3.00001,10372567151,8699982774,98,5995,2
10000,32,sum1,time_limit_sec,3,0x1d00,95.2817,3.00002,8408342431,7373568884,8493650,5997,92752
10000,32,sum1,time_limit_sec,3,0x1d00,95.3609,3.00001,8408523741,7373343902,8493838,5997,92754
10000,32,sum1,time_limit_sec,3,0x1d00,95.3843,3.00002,8408523741,7373301011,8493877,5995,92754
10000,64,sum1,time_limit_sec,3,0x1d00,85.3721,3.00005,4189370861,5474883697,4222218,5966,46068
10000,64,sum1,time_limit_sec,3,0x1d00,85.4324,3.00003,4189370111,5476221119,4222952,5979,46077
10000,64,sum1,time_limit_sec,3,0x1d00,85.1643,3.00003,4189279572,5472146126,4220992,5969,46054
10000,128,sum1,time_limit_sec,3,0x1d00,79.3862,3.00006,2114528586,3339002464,5638,5969,23327
10000,128,sum1,time_limit_sec,3,0x1d00,79.4065,3.00006,2114528586,3341473322,5691,5977,23327
10000,128,sum1,time_limit_sec,3,0x1d00,79.4007,3.00006,2114528586,3339204449,5657,5982,23327
10000,256,sum1,time_limit_sec,3,0x1d00,71.8698,3.00011,1063367223,1682125918,5664,5983,11714
10000,256,sum1,time_limit_sec,3,0x1d00,71.8488,3.00013,1063359012,1682167388,5668,5982,11714
10000,256,sum1,time_limit_sec,3,0x1d00,71.841,3.00012,1063361105,1681436182,5654,5984,11714
100000,2,sum1,time_limit_sec,3,0x1d00,97.706,3.00011,10472466811,8700313751,98,5999,2
100000,2,sum1,time_limit_sec,3,0x1d00,97.7217,3.00012,11175733881,8700356236,96,5997,2
100000,2,sum1,time_limit_sec,3,0x1d00,97.8327,3.0002,10330192551,8700577680,98,5997,2
100000,4,sum1,time_limit_sec,3,0x1d00,97.8654,3.00015,10350903361,8700429577,98,5997,2
100000,4,sum1,time_limit_sec,3,0x1d00,97.7338,3.00005,11174833411,8700136387,95,5997,2
100000,4,sum1,time_limit_sec,3,0x1d00,97.5127,3.00004,11004644581,8700117334,98,5997,2
100000,8,sum1,time_limit_sec,3,0x1d00,97.8329,3.00016,11178435291,8700433927,96,5997,2
100000,8,sum1,time_limit_sec,3,0x1d00,97.6114,3.0001,10755214391,8700277240,96,5997,2
100000,8,sum1,time_limit_sec,3,0x1d00,97.8025,3.00005,10329292081,8700121568,98,5997,2
100000,16,sum1,time_limit_sec,3,0x1d00,97.9356,3.00021,10068155781,8700555060,96,5997,2
100000,16,sum1,time_limit_sec,3,0x1d00,98.0373,3.00015,11170331061,8700327120,98,5997,2
100000,16,sum1,time_limit_sec,3,0x1d00,97.3358,3.00001,10343699601,8699923672,95,5997,2
100000,32,sum1,time_limit_sec,3,0x1d00,97.7278,3.00013,10815545881,8700261261,98,5997,2
100000,32,sum1,time_limit_sec,3,0x1d00,97.5805,3.00026,10745309221,8700628198,98,5997,2
100000,32,sum1,time_limit_sec,3,0x1d00,97.8133,3.00024,11170331061,8700568980,99,5997,2
100000,64,sum1,time_limit_sec,3,0x1d00,97.962,3.00017,10889384421,8700299860,147,5997,2
100000,64,sum1,time_limit_sec,3,0x1d00,97.8639,3.00008,11169430591,8700059160,145,5997,2
100000,64,sum1,time_limit_sec,3,0x1d00,97.8163,3.00017,10815545881,8700305979,145,5997,2
100000,128,sum1,time_limit_sec,3,0x1d00,97.5076,3.00015,10876777841,8700076966,147,5997,2
100000,128,sum1,time_limit_sec,3,0x1d00,97.8113,3.00008,11169430591,8699848591,145,5997,2
100000,128,sum1,time_limit_sec,3,0x1d00,97.5163,3.0001,10876777841,8699913406,147,5997,2
100000,256,sum1,time_limit_sec,3,0x1d00,96.602,3.0002,10082069893,8329363296,652017,5993,7068
100000,256,sum1,time_limit_sec,3,0x1d00,96.5843,3.00023,10073963467,8327959348,651118,5994,7057
1000000,2,sum1,time_limit_sec,3,0x1d00,97.9553,3.00191,10071526641,8705523050,98,5997,2
1000000,2,sum1,time_limit_sec,3,0x1d00,97.9544,3.00173,10071526641,8705017928,98,5997,2
1000000,2,sum1,time_limit_sec,3,0x1d00,97.8667,3.00163,10332540271,8704722969,96,5997,2
1000000,4,sum1,time_limit_sec,3,0x1d00,97.8438,3.0005,11178584451,8701431614,98,5997,2
1000000,4,sum1,time_limit_sec,3,0x1d00,97.9092,3.00073,11178584451,8702096700,95,5997,2
1000000,4,sum1,time_limit_sec,3,0x1d00,97.8549,3.00181,10332540271,8705229802,98,5997,2
1000000,8,sum1,time_limit_sec,3,0x1d00,97.8211,3.00081,10332540271,8702343954,95,5997,2
1000000,8,sum1,time_limit_sec,3,0x1d00,98.0052,3.00151,10071526641,8704353364,98,5997,2
1000000,8,sum1,time_limit_sec,3,0x1d00,97.9241,3.00125,11178584451,8703597798,95,5997,2
1000000,16,sum1,time_limit_sec,3,0x1d00,97.8137,3.00183,10800564711,8705208168,96,5995,2
