sys i msg_size itr dvfs rapl time tput pk1j rx_bytes tx_bytes instructions cycles ref_cycles llc_miss c1 c1e c3 c6 c7 num_interrupts
linux_tuned 2 64 28 0xc00 135 0.289 16.88 5.21 649480 649870 106726552 178983152 432474680 128380 27383807440 3123760622 21692062 0 4647557852 9995
linux_tuned 0 64 30 0xc00 135 0.308 15.87 5.55 649676 649936 107032664 181130600 437669305 127958 809915610 15504776 548488 0 43266320 9997
linux_tuned 1 64 30 0xc00 135 0.309 15.82 5.57 648440 650068 107092460 179421302 433601040 127328 14983624995 1673884736 12074432 0 2525688376 9990
linux_tuned 2 64 30 0xc00 135 0.309 15.82 5.56 648310 649870 107124620 180530707 436281104 129689 29203810254 3330149182 23121744 0 4949009592 9986
linux_tuned 0 64 32 0xc00 135 0.328 14.87 5.93 649220 650398 107785493 181754388 439156483 129012 909955949 27004728 609248 0 46764208 9993
linux_tuned 1 64 32 0xc00 135 0.329 14.86 5.92 648310 649870 107149019 179719366 434106075 128855 15990572762 1791744885 12875625 0 2688387660 9986
linux_tuned 2 64 32 0xc00 135 0.328 14.87 5.93 650670 649870 108427112 182829544 441767846 131117 31419873510 3588217872 24863466 0 5317415694 9996
linux_tuned 0 64 34 0xc00 135 0.349 13.99 6.27 648766 650134 107202212 180199208 435416701 129105 1010013147 45469517 672672 0 50315328 9993
linux_tuned 1 64 34 0xc00 135 0.349 14.0 6.25 649548 649870 107791391 181859447 439427430 129195 17200838434 1939560907 13843128 0 2885316044 9994
linux_tuned 2 64 34 0xc00 135 0.349 14.0 6.28 648960 651058 106411227 179635132 433918213 126428 32943973777 3774127391 26064243 0 5568826266 9994
linux_tuned 0 64 36 0xc00 135 0.369 13.24 6.63 650402 649936 108463529 183510330 443428792 129256 1091805804 73767703 728676 0 53182467 9997
linux_tuned 1 64 36 0xc00 135 0.37 13.21 6.62 647530 649870 108139372 181941183 439626457 130399 17898982474 2040533774 14403987 0 2996970327 9980
linux_tuned 2 64 36 0xc00 135 0.369 13.25 6.63 649810 650464 107948250 181093516 437589323 128532 34563308066 3981604368 27343103 0 5837003362 9987
linux_tuned 0 64 38 0xc00 135 0.39 12.53 6.97 648570 650134 106496685 180358971 435819743 128096 1184389204 114643077 797279 0 56892108 9992
linux_tuned 1 64 38 0xc00 135 0.389 12.55 6.96 649806 650002 108593006 182798369 441684065 129608 19306903603 2234706727 15538446 0 3228200136 9997
linux_tuned 2 64 38 0xc00 135 0.39 12.53 6.99 648310 649870 107132953 180576711 436393073 127830 36970669535 4292287962 29253644 0 6239110201 9986
linux_tuned 0 64 40 0xc00 135 0.41 11.91 7.33 648766 650134 108686711 183979407 444616371 129783 1277275840 170509621 874425 0 60987312 9993
linux_tuned 1 64 40 0xc00 135 0.41 11.92 7.36 649480 649870 108180353 182585784 441096670 129335 19993336338 2360457508 16104508 0 3339907533 9995
linux_tuned 2 64 40 0xc00 135 0.41 11.92 7.32 649680 649870 108757026 182449476 440865482 128967 38876389428 4559920234 30774744 0 6557651184 9994
linux_tuned 0 64 2 0xd00 135 0.171 28.52 3.25 650868 649870 102778502 172589372 385175245 134265 47338773 5039172 62370 0 10115791 15016
linux_tuned 1 64 2 0xd00 135 0.171 28.58 3.26 647920 649870 102895644 172217220 384079306 128595 7853217787 917930582 6415354 0 1376852421 14982
linux_tuned 2 64 2 0xd00 135 0.173 28.31 3.26 650864 653104 104547012 177014004 395252484 136682 15972322112 1863899490 12730042 0 2761910641 15072
linux_tuned 0 64 4 0xd00 135 0.171 28.62 3.22 649220 649870 101602601 171231078 382007140 131543 64835422 5227680 128160 0 19575855 14990
linux_tuned 1 64 4 0xd00 135 0.17 28.66 3.25 648700 649870 105415705 177210962 395218409 132815 8015836941 935130124 6591528 0 1412539244 14987
linux_tuned 2 64 4 0xd00 135 0.169 28.9 3.18 651266 649870 106176067 176779344 394427492 134276 16087500267 1875480636 12863676 0 2788170412 15022
linux_tuned 0 64 6 0xd00 135 0.205 23.85 3.84 649612 649936 106798291 177729168 396480228 130069 114658242 6505884 176220 0 24602886 9998
linux_tuned 1 64 6 0xd00 135 0.204 23.91 3.84 649090 649870 105540335 177934782 396784554 127885 9450107394 1098533865 7760610 0 1659654360 9992
linux_tuned 2 64 6 0xd00 135 0.205 23.79 3.83 648440 649870 106014055 178952303 399235982 129920 19011663020 2212430958 15189685 0 3289410652 9987
linux_tuned 0 64 8 0xd00 135 0.205 23.83 3.85 648440 649870 105374182 177129921 395176243 129462 148100107 6447870 189540 0 24592035 9987
linux_tuned 1 64 8 0xd00 135 0.203 24.09 3.78 648700 652774 106505429 177707436 396432784 129142 9533908243 1104216176 7817460 0 1668519384 10033
linux_tuned 2 64 8 0xd00 135 0.204 23.99 3.83 648180 649870 105657372 176006119 392320468 129256 18853821760 2190012626 15052050 0 3256377540 9985
linux_tuned 0 64 10 0xd00 135 0.203 24.0 3.83 648050 649870 105128377 175858423 392148643 128901 182354436 6452828 205252 0 24810660 9984
linux_tuned 1 64 10 0xd00 135 0.204 23.99 3.83 648440 649870 104672719 174886751 389908074 127157 9422822836 1087356789 7712280 0 1643323590 9987
linux_tuned 2 64 10 0xd00 135 0.203 24.06 3.82 649480 649936 106456128 177561440 396012226 130087 18985873374 2201286388 15146096 0 3273431084 9997
linux_tuned 0 64 12 0xd00 135 0.205 23.76 3.85 650070 650134 105694059 177250173 395305612 128913 220763022 6593393 224777 0 25542232 10004
linux_tuned 1 64 12 0xd00 135 0.203 24.07 3.79 650996 650002 102796995 172043717 383797078 125664 9261682789 1064862477 7568883 0 1609613964 10002
linux_tuned 2 64 12 0xd00 135 0.204 23.93 3.81 648180 649870 104818375 175777842 392167609 128526 18827164530 2178869290 15008228 0 3240376956 9985
linux_tuned 0 64 14 0xd00 135 0.203 24.1 3.8 650136 650200 106913919 179987657 401519558 129792 256458624 6640082 240340 0 25893680 10006
linux_tuned 1 64 14 0xd00 135 0.203 24.01 3.81 649090 649870 106605406 179775130 401052658 130310 9640208576 1104344556 7865676 0 1669587388 9992
linux_tuned 2 64 14 0xd00 135 0.204 23.96 3.81 649220 649870 105043957 175601832 391626962 127414 18862293113 2178910806 15024912 0 3240721500 9993
linux_tuned 0 64 16 0xd00 135 0.206 23.67 3.86 648180 649870 106110970 177732314 396529499 130640 294984472 6744508 257705 0 26511974 9985
linux_tuned 1 64 16 0xd00 135 0.206 23.75 3.86 649220 649870 105206794 175736316 391810822 127995 9675583220 1104393752 7885080 0 1669940776 9993
linux_tuned 2 64 16 0xd00 135 0.204 23.93 3.81 650798 650002 106435881 177655220 396316117 129870 19189506491 2212645491 15274986 0 3291186016 10002
linux_tuned 0 64 18 0xd00 135 0.205 23.85 3.83 651194 650002 107891951 181327596 404508472 131081 332568295 6817200 274600 0 27014200 10000
linux_tuned 1 64 18 0xd00 135 0.204 23.98 3.83 649676 650002 105125184 176463057 393483977 127982 9611914629 1093163616 7819946 0 1653242586 9999
linux_tuned 2 64 18 0xd00 135 0.206 23.67 3.89 648050 649870 100785639 169329113 377379668 122911 18444393752 2122832124 14669991 0 3157890246 9984
linux_tuned 0 64 20 0xd00 135 0.214 22.81 3.99 650538 649870 105538936 177421091 395792638 128348 377989447 7030270 297250 0 28075160 9996
linux_tuned 1 64 20 0xd00 135 0.214 22.86 3.99 649092 649870 105653156 176987470 394863594 129413 10144314130 1149554484 8238132 0 1738816440 9993
linux_tuned 2 64 20 0xd00 135 0.214 22.86 3.99 649610 652312 106032977 177569756 396124949 128947 20042920212 2302583575 15928705 0 3425605760 10018
linux_tuned 0 64 22 0xd00 135 0.228 21.46 4.25 650604 649870 106319066 177911365 396891245 129190 441508343 7527976 336374 0 30261016 9995
linux_tuned 1 64 22 0xd00 135 0.228 21.44 4.25 650010 649870 107694720 181123392 404055463 130097 11029756020 1245395112 8945638 0 1884122903 9995
