ins,dvfs,ans,joules,time,instructions,ref_cycles,llc_miss
sum1,0x1900,2000000000,158.781,5.600,18000000136,16240027898,1
sum1,0x1700,2000000000,161.792,6.087,18000000136,17652177823,1
sum1,0x1700,2000000000,161.957,6.087,18000000136,17652177910,2
sum1,0x1700,2000000000,161.973,6.087,18000000136,17652175503,1
sum1,0x1500,2000000000,165.147,6.667,18000000136,19333334909,1
sum1,0x1500,2000000000,180.952,7.302,18000000136,21174594789,1
sum1,0x1500,2000000000,165.236,6.667,18000000136,19333366229,0
sum1,0x1500,2000000000,180.893,7.302,18000000136,21174600502,0
sum1,0x1500,2000000000,165.543,6.667,18000000136,19333335837,1
sum1,0x1300,2000000000,171.424,7.368,18000000136,21368421625,1
sum1,0x1300,2000000000,171.469,7.368,18000000136,21368423829,1
sum1,0x1300,2000000000,177.158,7.643,18000000136,22163820604,1
sum1,0x1300,2000000000,185.837,8.070,18000000136,23403509182,1
sum1,0x1300,2000000000,171.487,7.368,18000000136,21368425743,1
sum1,0x1100,2000000000,179.789,8.235,18000000136,23882353035,1
sum1,0x1100,2000000000,180.375,8.235,18000000136,23882355181,1
sum1,0x1100,2000000000,192.352,8.824,18000000136,25588232911,1
sum1,0x1100,2000000000,196.360,9.020,18000000136,26156850121,1
sum1,0x1100,2000000000,179.799,8.235,18000000136,23882355326,1
sum1,0xf00,2000000000,192.105,9.333,18000000136,27066667063,1
sum1,0xf00,2000000000,191.838,9.333,18000000136,27066709548,1
sum1,0xf00,2000000000,191.766,9.333,18000000136,27066669383,1
