sys i msg_size itr dvfs rapl time tput joules rx_bytes tx_bytes instructions cycles ref_cycles llc_miss c1 c1e c3 c6 c7 num_interrupts
ebbrt_tuned 0 524288 6 0x1d00 135 4.716 8482.07 131.06 2662233997 0 2116898916 0 0 3143197 0 0 0 0 0 574587
ebbrt_tuned 1 524288 6 0x1d00 135 4.716 8481.08 131.05 2662225117 0 2112978773 0 0 3137097 0 0 0 0 0 574363
ebbrt_tuned 2 524288 6 0x1d00 135 4.715 8484.45 130.94 2662241103 0 2115983335 0 0 3145292 0 0 0 0 0 575352
ebbrt_tuned 3 524288 6 0x1d00 135 4.716 8481.9 130.99 2662254229 0 2113826820 0 0 3141903 0 0 0 0 0 574609
ebbrt_tuned 4 524288 6 0x1d00 135 4.715 8484.33 130.98 2662240337 0 2102719855 0 0 3123586 0 0 0 0 0 574759
ebbrt_tuned 5 524288 6 0x1d00 135 4.717 8479.41 131.15 2662256259 0 2116900902 0 0 3147132 0 0 0 0 0 574422
ebbrt_tuned 6 524288 6 0x1d00 135 4.715 8483.12 131.06 2662230143 0 2116993984 0 0 3143583 0 0 0 0 0 574995
ebbrt_tuned 7 524288 6 0x1d00 135 4.715 8484.42 131.04 2662252681 0 2127125857 0 0 3161046 0 0 0 0 0 574584
ebbrt_tuned 8 524288 6 0x1d00 135 4.716 8482.45 131.01 2662202681 0 2110043516 0 0 3138930 0 0 0 0 0 574299
ebbrt_tuned 9 524288 6 0x1d00 135 4.716 8481.16 130.92 2662181668 0 2115021223 0 0 3145912 0 0 0 0 0 574021
ebbrt_tuned 0 524288 6 0x1c00 135 4.72 8475.07 128.36 2662241667 0 2115792699 0 0 3159917 0 0 0 0 0 574245
ebbrt_tuned 1 524288 6 0x1c00 135 4.718999999999999 8476.77 128.31 2662210895 0 2108744284 0 0 3145584 0 0 0 0 0 574491
ebbrt_tuned 2 524288 6 0x1c00 135 4.72 8475.25 128.38 2662214877 0 2124777896 0 0 3163755 0 0 0 0 0 574238
ebbrt_tuned 3 524288 6 0x1c00 135 4.718999999999999 8475.64 128.25 2662188556 0 2109618223 0 0 3148495 0 0 0 0 0 574116
ebbrt_tuned 4 524288 6 0x1c00 135 4.718 8477.44 128.33 2662191975 0 2112327253 0 0 3139300 0 0 0 0 0 574823
ebbrt_tuned 5 524288 6 0x1c00 135 4.718 8478.48 128.34 2662236219 0 2116186523 0 0 3151791 0 0 0 0 0 574019
ebbrt_tuned 6 524288 6 0x1c00 135 4.718 8477.47 128.26 2662252901 0 2123830798 0 0 3161986 0 0 0 0 0 574833
ebbrt_tuned 7 524288 6 0x1c00 135 4.717 8479.3 128.3 2662247395 0 2117012668 0 0 3172157 0 0 0 0 0 574069
ebbrt_tuned 8 524288 6 0x1c00 135 4.718999999999999 8475.9 128.41 2662146158 0 2120832878 0 0 3155608 0 0 0 0 0 573844
ebbrt_tuned 9 524288 6 0x1c00 135 4.718999999999999 8477.0 128.32 2662244719 0 2120129137 0 0 3159838 0 0 0 0 0 574362
ebbrt_tuned 0 524288 6 0x1b00 135 4.724 8467.53 125.09 2662141806 0 2123844732 0 0 3162068 0 0 0 0 0 571897
ebbrt_tuned 1 524288 6 0x1b00 135 4.724 8466.91 125.08 2662241369 0 2127528503 0 0 3180772 0 0 0 0 0 572158
ebbrt_tuned 2 524288 6 0x1b00 135 4.724 8467.16 125.07 2662224127 0 2116980253 0 0 3154344 0 0 0 0 0 572525
