sys i itr dvfs rapl read_5th read_10th read_50th read_90th read_95th read_99th measure_QPS target_QPS time joules rx_desc rx_bytes tx_desc tx_bytes instructions cycles ref_cycles llc_miss c1 c1e c3 c6 c7 num_interrupts
ebbrt_poll 0 666 0x1500 135 32.7 34.1 37.3 43.7 46.3 53.4 999812.2 1000000 20 2110.18 20966361 3352680140 55465551 5064757323 797114251057 652278128589 900765035961 757732786 0 0 0 0 0 319777
ebbrt_poll 0 666 0x1700 135 32.3 33.8 36.7 42.1 44.6 51.1 999742.4 1000000 20 2364.34 20957817 3352789482 55463603 5067313912 887264916876 714469842226 900853280815 760439103 0 0 0 0 0 319805
ebbrt_poll 0 666 0x1900 135 31.8 32.8 36.3 41.0 43.8 49.7 999979.3 1000000 20 2637.04 20950601 3351543489 55475441 5066871176 974092301126 776995599041 901314895942 765838490 0 0 0 0 0 319826
ebbrt_poll 0 666 0x1b00 135 32.0 33.2 36.4 41.0 43.7 49.5 999417.0 1000000 20 2948.08 20937745 3352509362 55445065 5070164082 1061693870439 838456583508 900564478573 765908798 0 0 0 0 0 319841
ebbrt_poll 0 666 0x1d00 135 31.6 32.3 35.8 40.4 42.3 48.6 999502.2 1000000 20 3258.35 20933999 3351813236 55451679 5070084319 1152007221993 901311114240 901311117010 778515016 0 0 0 0 0 319854
ebbrt_poll 0 666 0xf00 135 36.0 37.8 48.5 76.5 91.8 138.2 1500343.2 1500000 20 1483.45 0 0 0 0 415674308334 468092592985 904979011461 1038540097 0 0 0 0 0 316387
ebbrt_poll 0 666 0x1100 135 35.1 36.5 44.4 63.5 73.4 101.3 1500150.5 1500000 20 1658.69 0 0 0 0 498781683534 529811442360 903795988970 1009340307 0 0 0 0 0 317818
ebbrt_poll 0 666 0x1300 135 34.4 35.2 41.4 57.1 64.1 85.1 1499454.8 1500000 20 1865.59 0 0 0 0 572202491940 591684639810 903097607461 1027819345 0 0 0 0 0 318379
ebbrt_poll 0 666 0x1500 135 34.4 35.1 40.3 52.7 58.0 72.7 1499140.8 1500000 20 2076.21 0 0 0 0 661531591824 651583491796 899805773062 1030031998 0 0 0 0 0 318902
ebbrt_poll 0 666 0x1700 135 34.1 34.6 39.4 50.1 54.6 66.8 1499530.5 1500000 20 2336.03 0 0 0 0 740239116941 714918825957 901419388568 1007665846 0 0 0 0 0 319102
ebbrt_poll 0 666 0x1900 135 34.1 34.6 39.0 48.8 53.4 64.5 1499915.4 1500000 20 2604.16 0 0 0 0 812679113027 775001240741 899001441561 1020138961 0 0 0 0 0 319232
ebbrt_poll 0 666 0x1b00 135 34.0 34.5 38.5 47.4 51.7 61.1 1499767.6 1500000 20 2910.08 0 0 0 0 895320924844 840121637957 902352870786 1031785582 0 0 0 0 0 319347
ebbrt_poll 0 666 0x1d00 135 33.2 34.3 37.9 45.5 49.7 59.1 1499732.6 1500000 20 3242.74 0 0 0 0 975046434407 901012347788 901012348222 1015071720 0 0 0 0 0 319438
ebbrt_tuned 0 0 0xd00 135 38.4 40.2 48.2 62.9 69.4 85.2 999812.3 1000000 20 1198.49 21097487 3364347745 55463461 5067480127 152005624658 311623981423 695162329606 718079256 0 0 0 0 15271288 317506
ebbrt_tuned 0 2 0xd00 135 38.4 40.3 48.5 64.5 71.6 88.0 1000032.0 1000000 20 1200.57 21106294 3363801355 55483244 5069641984 153153689156 316890060880 706907231499 743110521 0 0 0 0 14784004 317528
ebbrt_tuned 0 10 0xd00 135 40.1 42.0 50.6 64.1 70.2 83.5 1000075.1 1000000 20 1189.51 21152819 3366597142 55490003 5077383777 150338753371 300955852226 671364237405 713281312 0 0 0 0 15069051 317404
ebbrt_tuned 0 30 0xd00 135 43.6 46.5 59.8 75.9 80.0 92.5 999841.1 1000000 20 1167.12 21253755 3371383449 55463408 5059921500 150639664783 276712948270 617306226371 700782364 0 0 0 0 11764737 314912
ebbrt_tuned 0 40 0xd00 135 43.5 46.9 63.3 80.7 86.6 98.6 999708.0 1000000 20 1160.64 21319369 3376012582 55460625 5067848073 150057836111 269865213689 602046942426 685535283 0 0 0 0 10835467 312350
ebbrt_tuned 0 0 0xf00 135 37.5 38.4 44.8 56.6 60.6 72.0 1000013.6 1000000 20 1304.06 21059033 3360128427 55474893 5062420736 152884255495 334843444446 647379626223 737733945 0 0 0 0 18976642 317502
ebbrt_tuned 0 2 0xf00 135 38.7 40.2 46.5 58.1 62.6 73.7 999568.9 1000000 20 1306.03 21075719 3358153293 55449471 5058827898 152470017675 335721855385 649072587208 725861713 0 0 0 0 18705358 317528
ebbrt_tuned 0 10 0xf00 135 38.3 39.8 47.1 57.9 61.6 71.6 999306.6 1000000 20 1292.21 21094187 3361102452 55443196 5065669015 151684038113 320587739944 619844944110 720309512 0 0 0 0 18400190 317378
ebbrt_tuned 0 20 0xf00 135 40.3 42.2 52.2 63.4 66.6 76.9 1000132.3 1000000 20 1273.71 21163038 3365979553 55487431 5070871640 148923187888 296977964238 574271349338 678475664 0 0 0 0 15424949 316499
ebbrt_tuned 0 30 0xf00 135 40.3 42.9 56.1 70.2 74.2 82.8 999422.5 1000000 20 1262.59 21215709 3369906859 55450929 5074351608 150771681423 290052842009 561027588129 693446843 0 0 0 0 13597734 314878
ebbrt_tuned 0 40 0xf00 135 41.7 44.6 60.8 78.2 82.2 92.8 999802.9 1000000 20 1255.68 21296420 3374302894 55468749 5072763991 151852062711 284266348416 550053990855 685050304 0 0 0 0 12605842 312340
ebbrt_tuned 0 0 0x1100 135 36.2 37.7 43.0 53.0 56.5 64.8 999970.5 1000000 20 1426.27 21051311 3360503770 55472311 5063759938 150395504277 348745554251 594968083983 717035749 0 0 0 0 21631718 317498
ebbrt_tuned 0 2 0x1100 135 37.7 38.3 43.4 53.6 57.7 78.5 1000157.9 1000000 20 1424.4 20725023 3342660081 55104966 5051414648 149236024795 346513400650 591230698862 714921535 0 0 0 0 21251056 317449
ebbrt_tuned 0 10 0x1100 135 38.0 39.3 45.6 54.5 58.3 65.6 999799.0 1000000 20 1410.38 21080286 3363214912 55465590 5069270423 148524124195 329400486895 562111809882 690679894 0 0 0 0 20378347 317372
